Date,Open,High,Low,Close
05/02/2019,"26,407.15","26,454.69","26,180.36","26,307.79"
05/01/2019,"26,639.06","26,689.39","26,426.38","26,430.14"
04/30/2019,"26,594.56","26,614.04","26,419.47","26,592.91"
04/29/2019,"26,559.87","26,602.54","26,520.75","26,554.39"
04/26/2019,"26,454.62","26,543.56","26,392.55","26,543.33"
04/25/2019,"26,426.37","26,536.48","26,310.28","26,462.08"
04/24/2019,"26,652.56","26,680.58","26,582.86","26,597.05"
04/23/2019,"26,513.83","26,695.96","26,503.56","26,656.39"
04/22/2019,"26,510.77","26,553.05","26,458.61","26,511.05"
04/18/2019,"26,463.37","26,602.42","26,444.53","26,559.54"
04/17/2019,"26,468.53","26,501.02","26,391.86","26,449.54"
04/16/2019,"26,482.19","26,530.71","26,397.19","26,452.66"
04/15/2019,"26,407.76","26,424.85","26,316.42","26,384.77"
04/12/2019,"26,357.79","26,436.68","26,309.72","26,412.30"
04/11/2019,"26,188.21","26,229.88","26,062.59","26,143.05"
04/10/2019,"26,173.71","26,209.49","26,101.24","26,157.16"
04/09/2019,"26,243.54","26,246.34","26,103.14","26,150.58"
04/08/2019,"26,312.67","26,344.65","26,246.03","26,341.02"
04/05/2019,"26,427.56","26,487.57","26,370.82","26,424.99"
04/04/2019,"26,213.42","26,398.90","26,212.78","26,384.63"
04/03/2019,"26,238.03","26,282.17","26,138.47","26,218.13"
04/02/2019,"26,213.55","26,221.24","26,122.31","26,179.13"
04/01/2019,"26,075.10","26,280.90","26,071.69","26,258.42"
03/29/2019,"25,827.31","25,949.32","25,771.67","25,928.68"
03/28/2019,"25,693.32","25,743.41","25,576.69","25,717.46"
03/27/2019,"25,676.34","25,758.17","25,425.27","25,625.59"
03/26/2019,"25,649.56","25,796.29","25,544.78","25,657.73"
03/25/2019,"25,490.72","25,603.27","25,372.26","25,516.83"
03/22/2019,"25,844.65","25,877.01","25,501.45","25,502.32"
03/21/2019,"25,688.44","26,009.90","25,657.78","25,962.51"
03/20/2019,"25,867.79","25,929.52","25,670.63","25,745.67"
03/19/2019,"25,987.87","26,109.68","25,814.92","25,887.38"
03/18/2019,"25,801.88","25,924.77","25,785.66","25,914.10"
03/15/2019,"25,720.96","25,927.91","25,649.70","25,848.87"
03/14/2019,"25,692.31","25,752.84","25,621.31","25,709.94"
03/13/2019,"25,637.23","25,776.49","25,571.31","25,702.89"
03/12/2019,"25,600.30","25,675.44","25,522.17","25,554.66"
03/11/2019,"25,208.00","25,661.63","25,208.00","25,650.88"
03/08/2019,"25,347.38","25,466.14","25,252.46","25,450.24"
03/07/2019,"25,645.45","25,645.45","25,352.55","25,473.23"
03/06/2019,"25,818.76","25,837.61","25,633.71","25,673.46"
03/05/2019,"25,829.07","25,877.15","25,725.63","25,806.63"
03/04/2019,"26,122.19","26,155.98","25,611.55","25,819.65"
03/01/2019,"26,019.67","26,143.92","25,914.37","26,026.32"
02/28/2019,"25,984.28","26,029.21","25,896.56","25,916.00"
02/27/2019,"25,995.60","26,039.68","25,877.24","25,985.16"
02/26/2019,"26,051.61","26,155.29","25,966.01","26,057.98"
02/25/2019,"26,126.15","26,241.42","26,080.66","26,091.95"
02/22/2019,"25,906.27","26,052.90","25,906.27","26,031.81"
02/21/2019,"25,922.41","25,938.88","25,762.21","25,850.63"
02/20/2019,"25,872.26","25,986.20","25,846.48","25,954.44"
02/19/2019,"25,849.85","25,961.44","25,820.01","25,891.32"
02/15/2019,"25,564.63","25,883.72","25,564.63","25,883.25"
02/14/2019,"25,460.65","25,558.90","25,308.09","25,439.39"
02/13/2019,"25,480.86","25,625.95","25,480.86","25,543.27"
02/12/2019,"25,152.03","25,458.98","25,152.03","25,425.76"
02/11/2019,"25,142.81","25,196.75","25,009.10","25,053.11"
02/08/2019,"25,042.36","25,106.39","24,883.04","25,106.33"
02/07/2019,"25,265.81","25,314.26","25,000.52","25,169.53"
02/06/2019,"25,371.57","25,439.04","25,312.06","25,390.30"
02/05/2019,"25,287.93","25,427.32","25,287.65","25,411.52"
02/04/2019,"25,062.12","25,239.91","24,977.67","25,239.37"
02/01/2019,"25,025.31","25,193.15","24,982.49","25,063.89"
01/31/2019,"24,954.48","25,049.62","24,842.09","24,999.67"
01/30/2019,"24,826.52","25,109.62","24,790.90","25,014.86"
01/29/2019,"24,519.62","24,674.87","24,504.04","24,579.96"
01/28/2019,"24,596.98","24,596.98","24,323.94","24,528.22"
01/25/2019,"24,687.21","24,860.15","24,676.75","24,737.20"
01/24/2019,"24,579.96","24,626.30","24,422.73","24,553.24"
01/23/2019,"24,577.25","24,700.98","24,307.17","24,575.62"
01/22/2019,"24,607.76","24,607.76","24,244.31","24,404.48"
01/18/2019,"24,534.19","24,750.22","24,459.03","24,706.35"
01/17/2019,"24,147.09","24,474.46","24,088.90","24,370.10"
01/16/2019,"24,139.91","24,288.61","24,119.72","24,207.16"
01/15/2019,"23,914.11","24,099.14","23,887.93","24,065.59"
01/14/2019,"23,880.53","23,964.90","23,765.24","23,909.84"
01/11/2019,"23,940.01","23,996.32","23,798.16","23,995.95"
01/10/2019,"23,811.11","24,014.78","23,703.25","24,001.92"
01/09/2019,"23,844.27","23,985.45","23,776.56","23,879.12"
01/08/2019,"23,680.32","23,864.65","23,581.45","23,787.45"
01/07/2019,"23,474.26","23,687.74","23,301.59","23,531.35"
01/04/2019,"22,894.92","23,518.64","22,894.92","23,433.16"
01/03/2019,"23,176.39","23,176.39","22,638.41","22,686.22"
01/02/2019,"23,058.61","23,413.47","22,928.59","23,346.24"
12/31/2018,"23,153.94","23,333.18","23,118.30","23,327.46"
12/28/2018,"23,213.61","23,381.88","22,981.33","23,062.40"
12/27/2018,"22,629.06","23,138.89","22,267.42","23,138.82"
12/26/2018,"21,857.73","22,878.92","21,712.53","22,878.45"
12/24/2018,"22,317.28","22,339.87","21,792.20","21,792.20"
12/21/2018,"22,871.74","23,254.59","22,396.34","22,445.37"
12/20/2018,"23,224.12","23,282.20","22,644.31","22,859.60"
12/19/2018,"23,693.33","24,057.34","23,162.64","23,323.66"
12/18/2018,"23,769.13","23,927.77","23,516.02","23,675.64"
12/17/2018,"23,986.83","24,088.08","23,456.88","23,592.98"
12/14/2018,"24,408.04","24,431.14","24,033.79","24,100.51"
12/13/2018,"24,575.86","24,740.96","24,473.29","24,597.38"
12/12/2018,"24,509.09","24,828.29","24,509.09","24,527.27"
12/11/2018,"24,719.91","24,791.26","24,221.06","24,370.24"
12/10/2018,"24,360.95","24,500.81","23,881.37","24,423.26"
12/07/2018,"24,918.82","25,095.62","24,284.78","24,388.95"
12/06/2018,"24,737.42","24,951.01","24,242.22","24,947.67"
12/04/2018,"25,752.56","25,773.12","25,008.11","25,027.07"
12/03/2018,"25,779.57","25,980.21","25,670.51","25,826.43"
11/30/2018,"25,307.14","25,549.71","25,250.97","25,538.46"
11/29/2018,"25,343.65","25,479.04","25,202.79","25,338.84"
11/28/2018,"24,832.84","25,368.93","24,832.84","25,366.43"
11/27/2018,"24,557.02","24,750.73","24,416.03","24,748.73"
11/26/2018,"24,364.13","24,673.29","24,364.13","24,640.24"
11/23/2018,"24,336.40","24,408.80","24,268.74","24,285.95"
11/21/2018,"24,541.65","24,669.79","24,463.28","24,464.69"
11/20/2018,"24,618.68","24,707.26","24,368.98","24,465.64"
11/19/2018,"25,392.61","25,392.61","24,900.98","25,017.44"
11/16/2018,"25,242.35","25,510.23","25,147.80","25,413.22"
11/15/2018,"25,061.48","25,354.56","24,787.79","25,289.27"
11/14/2018,"25,388.08","25,501.29","24,935.82","25,080.50"
11/13/2018,"25,321.21","25,511.03","25,193.78","25,286.49"
11/12/2018,"25,959.33","25,966.71","25,340.51","25,387.18"
11/09/2018,"26,149.11","26,161.49","25,882.91","25,989.30"
11/08/2018,"26,139.59","26,277.82","26,081.90","26,191.22"
11/07/2018,"25,788.46","26,200.14","25,765.88","26,180.30"
11/06/2018,"25,452.83","25,651.86","25,444.90","25,635.01"
11/05/2018,"25,261.47","25,507.35","25,261.47","25,461.70"
11/02/2018,"25,443.60","25,578.98","25,078.72","25,270.83"
11/01/2018,"25,142.08","25,396.47","25,108.11","25,380.74"
10/31/2018,"25,008.82","25,336.55","25,008.82","25,115.76"
10/30/2018,"24,482.04","24,906.68","24,415.69","24,874.64"
10/29/2018,"24,818.98","25,040.58","24,122.23","24,442.92"
10/26/2018,"24,770.25","24,916.16","24,445.19","24,688.31"
10/25/2018,"24,736.54","25,104.29","24,645.56","24,984.55"
10/24/2018,"25,172.88","25,306.23","24,533.19","24,583.42"
10/23/2018,"25,038.46","25,307.70","24,768.79","25,191.43"
